MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.75,2,16,5.0003e-02,3.7306e-01,3.6999e-01
5.85,1,14,2.5002e-02,3.2306e-01,2.9687e-01
5.95,2,13,5.0003e-02,2.9806e-01,2.3808e-01
6.05,2,11,5.0003e-02,2.4805e-01,1.9082e-01
6.15,4,9,1.0001e-01,1.9805e-01,1.5281e-01
6.25,0,5,0.0000e+00,9.8044e-02,1.2226e-01
6.35,1,5,1.9609e-02,9.8044e-02,9.7696e-02
6.45,1,4,1.9609e-02,7.8435e-02,7.7945e-02
6.55,1,3,1.9609e-02,5.8826e-02,6.2066e-02
6.65,1,2,1.9609e-02,3.9218e-02,4.9299e-02
6.75,1,1,1.9609e-02,1.9609e-02,3.9034e-02
6.85,0,0,0.0000e+00,0.0000e+00,3.0782e-02
6.95,0,0,0.0000e+00,0.0000e+00,2.4146e-02
7.05,0,0,0.0000e+00,0.0000e+00,1.8812e-02
7.15,0,0,0.0000e+00,0.0000e+00,1.4522e-02
7.25,0,0,0.0000e+00,0.0000e+00,1.1074e-02
7.35,0,0,0.0000e+00,0.0000e+00,8.3013e-03
7.45,0,0,0.0000e+00,0.0000e+00,6.0722e-03
7.55,0,0,0.0000e+00,0.0000e+00,4.2799e-03
7.65,0,0,0.0000e+00,0.0000e+00,2.8389e-03
7.75,0,0,0.0000e+00,0.0000e+00,1.6804e-03
7.85,0,0,0.0000e+00,0.0000e+00,7.4891e-04
7.95,0,0,0.0000e+00,0.0000e+00,7.4891e-04
