MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,9,34,2.1158e-01,7.9931e-01,7.7590e-01,1.3569e-01
3.05,4,25,9.4036e-02,5.8773e-01,6.1890e-01,1.0823e-01
3.15,6,21,1.4105e-01,4.9369e-01,4.9367e-01,8.6331e-02
3.25,3,15,7.0527e-02,3.5264e-01,3.9378e-01,6.8863e-02
3.35,2,12,4.7018e-02,2.8211e-01,3.1410e-01,5.4929e-02
3.45,1,10,2.3509e-02,2.3509e-01,2.5054e-01,4.3814e-02
3.55,2,9,4.7018e-02,2.1158e-01,1.9985e-01,3.4948e-02
3.65,4,7,9.4036e-02,1.6456e-01,1.5941e-01,2.7876e-02
3.75,0,3,0.0000e+00,7.0527e-02,1.2715e-01,2.2235e-02
3.85,0,3,0.0000e+00,7.0527e-02,1.0142e-01,1.7736e-02
3.95,1,3,2.3509e-02,7.0527e-02,8.0893e-02,1.4146e-02
4.05,0,2,0.0000e+00,4.7018e-02,6.4522e-02,1.1283e-02
4.15,1,2,2.3509e-02,4.7018e-02,5.1463e-02,8.9997e-03
4.25,1,1,2.3509e-02,2.3509e-02,4.1046e-02,7.1780e-03
4.35,0,0,0.0000e+00,0.0000e+00,3.2737e-02,5.7250e-03
4.45,0,0,0.0000e+00,0.0000e+00,2.6110e-02,4.5660e-03
4.55,0,0,0.0000e+00,0.0000e+00,2.0823e-02,3.6414e-03
4.65,0,0,0.0000e+00,0.0000e+00,1.6606e-02,2.9040e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.3242e-02,2.3157e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.0559e-02,1.8465e-03
4.95,0,0,0.0000e+00,0.0000e+00,8.4187e-03,1.4722e-03
5.05,0,0,0.0000e+00,0.0000e+00,6.7114e-03,1.1737e-03
5.15,0,0,0.0000e+00,0.0000e+00,5.3497e-03,9.3553e-04
5.25,0,0,0.0000e+00,0.0000e+00,4.2634e-03,7.4557e-04
5.35,0,0,0.0000e+00,0.0000e+00,3.3970e-03,5.9405e-04
5.45,0,0,0.0000e+00,0.0000e+00,2.7058e-03,4.7318e-04
5.55,0,0,0.0000e+00,0.0000e+00,2.1545e-03,3.7677e-04
5.65,0,0,0.0000e+00,0.0000e+00,1.7148e-03,2.9987e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.3640e-03,2.3853e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.0842e-03,1.8960e-04
5.95,0,0,0.0000e+00,0.0000e+00,8.6101e-04,1.5057e-04
6.05,0,0,0.0000e+00,0.0000e+00,6.8298e-04,1.1944e-04
6.15,0,0,0.0000e+00,0.0000e+00,5.4098e-04,9.4604e-05
6.25,0,0,0.0000e+00,0.0000e+00,4.2770e-04,7.4795e-05
6.35,0,0,0.0000e+00,0.0000e+00,3.3735e-04,5.8994e-05
6.45,0,0,0.0000e+00,0.0000e+00,2.6528e-04,4.6391e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.0779e-04,3.6337e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.6193e-04,2.8318e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.2535e-04,2.1921e-05
6.85,0,0,0.0000e+00,0.0000e+00,9.6174e-05,1.6819e-05
6.95,0,0,0.0000e+00,0.0000e+00,7.2900e-05,1.2748e-05
7.05,0,0,0.0000e+00,0.0000e+00,5.4335e-05,9.5019e-06
7.15,0,0,0.0000e+00,0.0000e+00,3.9527e-05,6.9123e-06
7.25,0,0,0.0000e+00,0.0000e+00,2.7715e-05,4.8466e-06
7.35,0,0,0.0000e+00,0.0000e+00,1.8293e-05,3.1989e-06
7.45,0,0,0.0000e+00,0.0000e+00,1.0777e-05,1.8846e-06
7.55,0,0,0.0000e+00,0.0000e+00,4.7820e-06,8.3625e-07
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
