1907 05 13 2100 149.253 -9.735 35.0 6.61 MW 
1910 07 29 1026 142.437 -5.297 15.0 6.58 MW 
1913 10 11 0406 146.249 -6.904 15.0 6.97 MW 
1918 06 04 0403 146.157 -6.450 15.0 6.46 MW 
1926 12 25 0643 142.768 -4.834 35.0 6.35 MW 
1926 09 15 1129 140.397 -4.506 35.0 6.04 MW 
1935 09 20 2104 142.881 -4.388 15.0 6.36 MW 
1928 10 21 1616 137.625 -3.685 35.0 6.07 MW 
1927 11 17 1345 139.637 -3.838 35.0 5.66 MW 
1959 09 21 0208 148.859 -9.640 20.0 5.83 MW 
1938 05 16 0705 137.116 -3.524 15.0 5.67 MW 
1939 01 25 1719 145.604 -6.444 35.0 5.64 MW 
1965 05 12 0805 137.924 -3.523 50.0 5.72 MW 
1971 01 01 0758 141.183 -4.190 35.0 6.01 MW 
1971 07 19 1448 144.508 -4.890 69.5 5.93 MW 
1973 08 13 0828 143.961 -4.524 105.0 6.02 MW 
1974 09 20 2120 146.060 -6.245 116.0 5.89 MW 
1971 09 27 1456 145.452 -5.822 110.0 5.67 MW 
1992 05 23 0020 141.801 -4.652 101.1 5.65 MW gcmt
1994 02 08 2156 140.577 -4.285 92.2 5.60 MW gcmt
1999 06 29 0550 147.944 -9.553 20.0 5.63 MW gcmt
2014 03 31 1341 147.039 -8.390 14.9 5.60 MW gcmt
