MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.05,10,62,2.5949e-01,1.5420e+00,1.6199e+00,1.6171e-01
3.15,10,52,2.5949e-01,1.2825e+00,1.2873e+00,1.2850e-01
3.25,6,42,1.5570e-01,1.0230e+00,1.0229e+00,1.0211e-01
3.35,7,36,1.8164e-01,8.6732e-01,8.1284e-01,8.1142e-02
3.45,6,29,1.5570e-01,6.8568e-01,6.4591e-01,6.4478e-02
3.55,4,23,1.0380e-01,5.2998e-01,5.1326e-01,5.1236e-02
3.65,5,19,1.2975e-01,4.2618e-01,4.0784e-01,4.0713e-02
3.75,2,14,5.1898e-02,2.9644e-01,3.2407e-01,3.2351e-02
3.85,0,12,0.0000e+00,2.4454e-01,2.5751e-01,2.5706e-02
3.95,5,12,1.0518e-01,2.4454e-01,2.0461e-01,2.0425e-02
4.05,1,7,2.1036e-02,1.3936e-01,1.6257e-01,1.6229e-02
4.15,0,6,0.0000e+00,1.1832e-01,1.2917e-01,1.2894e-02
4.25,3,6,6.3109e-02,1.1832e-01,1.0262e-01,1.0244e-02
4.35,0,3,0.0000e+00,5.5213e-02,8.1528e-02,8.1386e-03
4.45,1,3,2.1036e-02,5.5213e-02,6.4766e-02,6.4653e-03
4.55,0,2,0.0000e+00,3.4177e-02,5.1445e-02,5.1355e-03
4.65,0,2,0.0000e+00,3.4177e-02,4.0860e-02,4.0789e-03
4.75,1,2,1.7380e-02,3.4177e-02,3.2448e-02,3.2392e-03
4.85,0,1,0.0000e+00,1.6796e-02,2.5764e-02,2.5719e-03
4.95,1,1,1.6796e-02,1.6796e-02,2.0452e-02,2.0416e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.6231e-02,1.6203e-03
5.15,0,0,0.0000e+00,0.0000e+00,1.2877e-02,1.2854e-03
5.25,0,0,0.0000e+00,0.0000e+00,1.0211e-02,1.0193e-03
5.35,0,0,0.0000e+00,0.0000e+00,8.0931e-03,8.0790e-04
5.45,0,0,0.0000e+00,0.0000e+00,6.4099e-03,6.3987e-04
5.55,0,0,0.0000e+00,0.0000e+00,5.0723e-03,5.0635e-04
5.65,0,0,0.0000e+00,0.0000e+00,4.0094e-03,4.0024e-04
5.75,0,0,0.0000e+00,0.0000e+00,3.1647e-03,3.1592e-04
5.85,0,0,0.0000e+00,0.0000e+00,2.4935e-03,2.4892e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.9601e-03,1.9567e-04
6.05,0,0,0.0000e+00,0.0000e+00,1.5363e-03,1.5336e-04
6.15,0,0,0.0000e+00,0.0000e+00,1.1995e-03,1.1974e-04
6.25,0,0,0.0000e+00,0.0000e+00,9.3180e-04,9.3018e-05
6.35,0,0,0.0000e+00,0.0000e+00,7.1911e-04,7.1785e-05
6.45,0,0,0.0000e+00,0.0000e+00,5.5009e-04,5.4912e-05
6.55,0,0,0.0000e+00,0.0000e+00,4.1577e-04,4.1504e-05
6.65,0,0,0.0000e+00,0.0000e+00,3.0904e-04,3.0850e-05
6.75,0,0,0.0000e+00,0.0000e+00,2.2422e-04,2.2383e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.5682e-04,1.5655e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.0326e-04,1.0308e-05
7.05,0,0,0.0000e+00,0.0000e+00,6.0699e-05,6.0593e-06
7.15,0,0,0.0000e+00,0.0000e+00,2.6877e-05,2.6830e-06
7.25,0,0,0.0000e+00,0.0000e+00,-2.0786e-19,-2.0749e-20
