MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.05,49,130,1.2715e+00,3.2768e+00,2.5233e+00
3.15,13,81,3.3734e-01,2.0053e+00,2.0051e+00
3.25,12,68,3.1139e-01,1.6679e+00,1.5933e+00
3.35,19,56,4.9304e-01,1.3565e+00,1.2661e+00
3.45,6,37,1.5570e-01,8.6351e-01,1.0061e+00
3.55,2,31,5.1898e-02,7.0781e-01,7.9948e-01
3.65,8,29,2.0759e-01,6.5592e-01,6.3528e-01
3.75,2,21,5.1898e-02,4.4832e-01,5.0479e-01
3.85,3,19,7.7848e-02,3.9642e-01,4.0111e-01
3.95,3,16,6.3109e-02,3.1858e-01,3.1871e-01
4.05,3,13,6.3109e-02,2.5547e-01,2.5323e-01
4.15,4,10,8.4145e-02,1.9236e-01,2.0120e-01
4.25,1,6,2.1036e-02,1.0821e-01,1.5985e-01
4.35,2,5,4.2073e-02,8.7176e-02,1.2699e-01
4.45,1,3,2.1036e-02,4.5103e-02,1.0088e-01
4.55,0,2,0.0000e+00,2.4067e-02,8.0134e-02
4.65,0,2,0.0000e+00,2.4067e-02,6.3646e-02
4.75,0,2,0.0000e+00,2.4067e-02,5.0543e-02
4.85,0,2,0.0000e+00,2.4067e-02,4.0131e-02
4.95,1,2,1.6796e-02,2.4067e-02,3.1857e-02
5.05,0,1,0.0000e+00,7.2708e-03,2.5282e-02
5.15,0,1,0.0000e+00,7.2708e-03,2.0058e-02
5.25,0,1,0.0000e+00,7.2708e-03,1.5906e-02
5.35,0,1,0.0000e+00,7.2708e-03,1.2606e-02
5.45,0,1,0.0000e+00,7.2708e-03,9.9844e-03
5.55,0,1,0.0000e+00,7.2708e-03,7.9009e-03
5.65,0,1,0.0000e+00,7.2708e-03,6.2453e-03
5.75,0,1,0.0000e+00,7.2708e-03,4.9296e-03
5.85,0,1,0.0000e+00,7.2708e-03,3.8841e-03
5.95,0,1,0.0000e+00,7.2708e-03,3.0532e-03
6.05,0,1,0.0000e+00,7.2708e-03,2.3930e-03
6.15,0,1,0.0000e+00,7.2708e-03,1.8683e-03
6.25,0,1,0.0000e+00,7.2708e-03,1.4514e-03
6.35,0,1,0.0000e+00,7.2708e-03,1.1201e-03
6.45,0,1,0.0000e+00,7.2708e-03,8.5684e-04
6.55,0,1,0.0000e+00,7.2708e-03,6.4763e-04
6.65,0,1,0.0000e+00,7.2708e-03,4.8137e-04
6.75,1,1,7.2708e-03,7.2708e-03,3.4926e-04
6.85,0,0,0.0000e+00,0.0000e+00,2.4427e-04
6.95,0,0,0.0000e+00,0.0000e+00,1.6085e-04
7.05,0,0,0.0000e+00,0.0000e+00,9.4548e-05
7.15,0,0,0.0000e+00,0.0000e+00,4.1865e-05
7.25,0,0,0.0000e+00,0.0000e+00,-3.2377e-19
