SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Nusa Tenggara Shallow,NTS,area,9.0,1.0,1.0,10.0,-999,-999,0.0,30.0,999,4.5,5.75,8.0,7.8,8.2,51520.12,91398.40,28478.56,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,10.0,90.0,0.0,164.44,20.793,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Tanimbar,TB,area,9.0,1.0,1.0,10.0,-999,-999,0.0,40.0,999,4.5,5.75,8.0,7.8,8.2,40529.26,66355.37,23846.96,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,225.0,30.0,90.0,103.93,71.445,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
West Banda Sea,WBS,area,9.0,1.0,1.0,10.0,-999,-999,0.0,40.0,999,4.5,5.75,8.0,7.8,8.2,104551.5,212785.4,48160.46,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,90.0,30.0,90.0,25.785,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Taira Adiuna Fault System,TAFS,area,9.0,1.0,1.0,10.0,-999,-999,0.0,35.0,999,4.5,6.1,7.8,7.6,8.0,42890.04,71450.26,24801.66,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,78.0,90.0,0.0,18.9,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Wapengo,WPG,area,9.0,1.0,1.0,10.0,-999,-999,0.0,35.0,999,4.5,5.75,7.9,7.7,8.1,56624.95,102213.8,30761.61,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,42.0,90.0,0.0,21.33,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Papuan Fold-Thrust Belt,PFTB,area,9.0,1.0,1.0,27.5,-999,-999,1.0,60.0,999,4.5,5.75,8.2,8.0,8.4,94522.14,190270.3,43826.10,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,300.0,45.0,90.0,41.47,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Memberamo Thrust Belt,MTB,area,9.0,1.0,1.0,25.0,-999,-999,1.0,60.0,999,4.5,5.75,8.0,7.8,8.2,110614.8,231304.1,50114.35,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,120.0,45.0,90.0,42.81,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Bewani-Torricelli Fault Zone South,BTFZS,area,9.0,1.0,1.0,27.5,-999,-999,1.0,60.0,999,4.5,5.75,8.2,8.0,8.4,73553.94,141978.9,34930.06,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,80.0,45.0,90.0,42.81,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Adelbert Block,ADB,area,9.0,1.0,1.0,27.5,-999,-999,1.0,60.0,999,4.5,5.75,7.8,7.6,8.0,75013.18,144795.6,35623.04,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,90.0,90.0,0.0,32.92,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Huon Peninsula,HP,area,9.0,1.0,1.0,27.5,-999,-999,1.0,60.0,999,4.5,5.75,8.2,8.0,8.4,151641.9,327502.4,67288.45,0.9474,1.0228,0.872,0.9474,0.0754,1975;1964;1904,5.75;6.25;7.5,2014.997,30.0,45.0,90.0,32.92,15.0,Active,Non_cratonic,9.,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
