MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,2,6,4.7018e-02,1.4105e-01,1.4105e-01
3.05,1,4,2.3509e-02,9.4036e-02,1.0645e-01
3.15,1,3,2.3509e-02,7.0527e-02,8.0342e-02
3.25,1,2,2.3509e-02,4.7018e-02,6.0635e-02
3.35,0,1,0.0000e+00,2.3509e-02,4.5762e-02
3.45,0,1,0.0000e+00,2.3509e-02,3.4537e-02
3.55,0,1,0.0000e+00,2.3509e-02,2.6065e-02
3.65,0,1,0.0000e+00,2.3509e-02,1.9671e-02
3.75,0,1,0.0000e+00,2.3509e-02,1.4846e-02
3.85,0,1,0.0000e+00,2.3509e-02,1.1204e-02
3.95,0,1,0.0000e+00,2.3509e-02,8.4560e-03
4.05,0,1,0.0000e+00,2.3509e-02,6.3817e-03
4.15,1,1,2.3509e-02,2.3509e-02,4.8162e-03
4.25,0,0,0.0000e+00,0.0000e+00,3.6347e-03
4.35,0,0,0.0000e+00,0.0000e+00,2.7431e-03
4.45,0,0,0.0000e+00,0.0000e+00,2.0701e-03
4.55,0,0,0.0000e+00,0.0000e+00,1.5622e-03
4.65,0,0,0.0000e+00,0.0000e+00,1.1789e-03
4.75,0,0,0.0000e+00,0.0000e+00,8.8963e-04
4.85,0,0,0.0000e+00,0.0000e+00,6.7130e-04
4.95,0,0,0.0000e+00,0.0000e+00,5.0653e-04
5.05,0,0,0.0000e+00,0.0000e+00,3.8217e-04
5.15,0,0,0.0000e+00,0.0000e+00,2.8832e-04
5.25,0,0,0.0000e+00,0.0000e+00,2.1749e-04
5.35,0,0,0.0000e+00,0.0000e+00,1.6403e-04
5.45,0,0,0.0000e+00,0.0000e+00,1.2369e-04
5.55,0,0,0.0000e+00,0.0000e+00,9.3238e-05
5.65,0,0,0.0000e+00,0.0000e+00,7.0258e-05
5.75,0,0,0.0000e+00,0.0000e+00,5.2915e-05
5.85,0,0,0.0000e+00,0.0000e+00,3.9826e-05
5.95,0,0,0.0000e+00,0.0000e+00,2.9948e-05
6.05,0,0,0.0000e+00,0.0000e+00,2.2492e-05
6.15,0,0,0.0000e+00,0.0000e+00,1.6866e-05
6.25,0,0,0.0000e+00,0.0000e+00,1.2619e-05
6.35,0,0,0.0000e+00,0.0000e+00,9.4145e-06
6.45,0,0,0.0000e+00,0.0000e+00,6.9958e-06
6.55,0,0,0.0000e+00,0.0000e+00,5.1704e-06
6.65,0,0,0.0000e+00,0.0000e+00,3.7927e-06
6.75,0,0,0.0000e+00,0.0000e+00,2.7529e-06
6.85,0,0,0.0000e+00,0.0000e+00,1.9682e-06
6.95,0,0,0.0000e+00,0.0000e+00,1.3760e-06
7.05,0,0,0.0000e+00,0.0000e+00,9.2905e-07
7.15,0,0,0.0000e+00,0.0000e+00,5.9172e-07
7.25,0,0,0.0000e+00,0.0000e+00,3.3714e-07
7.35,0,0,0.0000e+00,0.0000e+00,1.4501e-07
7.45,0,0,0.0000e+00,0.0000e+00,-1.0897e-21
