MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,52,317,9.0377e-01,5.4613e+00,5.4610e+00
3.05,89,265,1.5468e+00,4.5575e+00,4.3396e+00
3.15,41,176,7.1259e-01,3.0107e+00,3.4484e+00
3.25,20,135,3.4760e-01,2.2981e+00,2.7403e+00
3.35,32,115,5.5617e-01,1.9505e+00,2.1775e+00
3.45,17,83,2.9546e-01,1.3943e+00,1.7303e+00
3.55,15,66,2.6070e-01,1.0989e+00,1.3750e+00
3.65,9,51,1.5642e-01,8.3817e-01,1.0926e+00
3.75,8,42,1.3904e-01,6.8174e-01,8.6815e-01
3.85,4,34,6.9521e-02,5.4270e-01,6.8983e-01
3.95,2,30,3.4760e-02,4.7318e-01,5.4812e-01
4.05,7,28,1.1563e-01,4.3842e-01,4.3551e-01
4.15,5,21,8.2594e-02,3.2279e-01,3.4602e-01
4.25,3,16,4.9557e-02,2.4019e-01,2.7491e-01
4.35,4,13,6.6075e-02,1.9064e-01,2.1840e-01
4.45,3,9,4.9557e-02,1.2456e-01,1.7350e-01
4.55,0,6,0.0000e+00,7.5006e-02,1.3782e-01
4.65,1,6,1.4807e-02,7.5006e-02,1.0946e-01
4.75,0,5,0.0000e+00,6.0199e-02,8.6925e-02
4.85,0,5,0.0000e+00,6.0199e-02,6.9019e-02
4.95,3,5,4.4420e-02,6.0199e-02,5.4789e-02
5.05,0,2,0.0000e+00,1.5779e-02,4.3481e-02
5.15,0,2,0.0000e+00,1.5779e-02,3.4495e-02
5.25,0,2,0.0000e+00,1.5779e-02,2.7355e-02
5.35,0,2,0.0000e+00,1.5779e-02,2.1681e-02
5.45,0,2,0.0000e+00,1.5779e-02,1.7171e-02
5.55,0,2,0.0000e+00,1.5779e-02,1.3588e-02
5.65,0,2,0.0000e+00,1.5779e-02,1.0741e-02
5.75,0,2,0.0000e+00,1.5779e-02,8.4780e-03
5.85,0,2,0.0000e+00,1.5779e-02,6.6799e-03
5.95,0,2,0.0000e+00,1.5779e-02,5.2510e-03
6.05,1,2,8.5080e-03,1.5779e-02,4.1155e-03
6.15,0,1,0.0000e+00,7.2708e-03,3.2132e-03
6.25,0,1,0.0000e+00,7.2708e-03,2.4962e-03
6.35,0,1,0.0000e+00,7.2708e-03,1.9264e-03
6.45,0,1,0.0000e+00,7.2708e-03,1.4736e-03
6.55,1,1,7.2708e-03,7.2708e-03,1.1138e-03
6.65,0,0,0.0000e+00,0.0000e+00,8.2788e-04
6.75,0,0,0.0000e+00,0.0000e+00,6.0066e-04
6.85,0,0,0.0000e+00,0.0000e+00,4.2010e-04
6.95,0,0,0.0000e+00,0.0000e+00,2.7662e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.6261e-04
7.15,0,0,0.0000e+00,0.0000e+00,7.2000e-05
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
